OS,Runtime,Arch,Method,Iteration,ElapsedMs,PayloadBytes,ObjectCount
macOS,net8.0,arm64,Json_Serialize,1,0.449347,1061276,400
macOS,net8.0,arm64,Json_Serialize,2,0.449368,1061276,400
macOS,net8.0,arm64,Json_Serialize,3,0.446253,1061276,400
macOS,net8.0,arm64,Json_Serialize,4,0.555556,1061276,400
macOS,net8.0,arm64,Json_Serialize,5,0.565864,1061276,400
macOS,net8.0,arm64,Json_Serialize,6,0.558256,1061276,400
macOS,net8.0,arm64,Json_Serialize,7,0.557184,1061276,400
macOS,net8.0,arm64,Json_Serialize,8,0.554833,1061276,400
macOS,net8.0,arm64,Json_Serialize,9,0.555587,1061276,400
macOS,net8.0,arm64,Json_Serialize,10,0.557252,1061276,400
macOS,net8.0,arm64,Json_Serialize,11,0.568124,1061276,400
macOS,net8.0,arm64,Json_Serialize,12,0.559824,1061276,400
macOS,net8.0,arm64,Json_Serialize,13,0.559299,1061276,400
macOS,net8.0,arm64,Json_Serialize,14,0.560466,1061276,400
macOS,net8.0,arm64,Json_Serialize,15,0.561142,1061276,400
macOS,net8.0,arm64,Json_Serialize,16,0.560143,1061276,400
macOS,net8.0,arm64,Json_Serialize,17,0.561221,1061276,400
macOS,net8.0,arm64,Json_Serialize,18,0.561800,1061276,400
macOS,net8.0,arm64,Json_Serialize,19,0.558651,1061276,400
macOS,net8.0,arm64,Json_Serialize,20,0.564184,1061276,400
macOS,net8.0,arm64,Json_Serialize,21,0.560364,1061276,400
macOS,net8.0,arm64,Json_Serialize,22,0.456591,1061276,400
macOS,net8.0,arm64,Json_Serialize,23,0.457678,1061276,400
macOS,net8.0,arm64,Json_Serialize,24,0.458295,1061276,400
macOS,net8.0,arm64,Json_Serialize,25,0.458240,1061276,400
macOS,net8.0,arm64,Json_Serialize,26,0.460423,1061276,400
macOS,net8.0,arm64,Json_Serialize,27,0.455561,1061276,400
macOS,net8.0,arm64,Json_Serialize,28,0.461992,1061276,400
macOS,net8.0,arm64,Json_Serialize,29,0.459549,1061276,400
macOS,net8.0,arm64,Json_Serialize,30,0.464164,1061276,400
macOS,net8.0,arm64,Json_Serialize,31,0.478604,1061276,400
macOS,net8.0,arm64,Json_Serialize,32,0.473469,1061276,400
macOS,net8.0,arm64,Json_Serialize,33,0.484047,1061276,400
macOS,net8.0,arm64,Json_Serialize,34,0.482341,1061276,400
macOS,net8.0,arm64,Json_Serialize,35,0.472041,1061276,400
macOS,net8.0,arm64,Json_Serialize,36,0.573373,1061276,400
macOS,net8.0,arm64,Json_Serialize,37,0.478356,1061276,400
macOS,net8.0,arm64,Json_Serialize,38,0.573531,1061276,400
